Food,Grams,Serving,Calories,Protein,Fiber,Sugar,Sodium,Sat.Fat, Price 
"Apples, raw, with skin",109.0,"1 cup, slices",56.7,0.3,2.6,11.3,1.1,0.0, $0.31 
"Applesauce, canned, sweetened",246.0,1 cup,167.3,0.4,3.0,36.1,4.9,0.1, $0.48 
"Applesauce, canned, sweetened",246.0,1 cup,167.3,0.4,3.0,36.1,4.9,0.1, $0.48 
"Applesauce, canned, sweetened",246.0,1 cup,167.3,0.4,3.0,36.1,4.9,0.1, $1.16 
"Applesauce, canned, sweetened",246.0,1 cup,167.3,0.4,3.0,36.1,4.9,0.1, $1.16 
"Applesauce, canned, unsweetened",244.0,1 cup,102.5,0.4,2.7,22.9,4.9,0.0, $0.48 
"Apricot nectar, canned, w/o vitamin c",31.4,1 fl oz,17.6,0.1,0.2,4.3,0.9,0.0, $0.06 
"Apricots, canned, extra light syrup pack, w/ skin",247.0,"1 cup, halves",121.0,1.5,4.0,37.1,4.9,0.0, $0.83 
"Apricots, canned, in extra heavy syrup, w/o skin",246.0,"1 cup, whole, without pits",236.2,1.4,3.9,46.1,32.0,0.0, $0.82 
"Apricots, canned, juice pack, w/ skin",36.0,"1 apricot, half with liquid",17.3,0.2,0.6,3.9,1.4,0.0, $0.12 
"Apricots, dried, sulfured, stewed, w/o sugar",250.0,"1 cup, halves",212.5,3.0,6.5,48.9,10.0,0.0, $0.81 
"Apricots, dried, sulfured, uncooked",7.0,1 apricot,16.9,0.2,0.5,3.7,0.7,0.0, $0.06 
"Apricots, raw",165.0,"1 cup, sliced",79.2,2.3,3.3,15.2,1.7,0.0, $0.79 
"Artichokes, (globe or french), cooked",84.0,".5 cup, hearts",44.5,2.4,7.2,0.8,50.4,0.1, $0.96 
"Arugula, raw",10.0,1/2 cup,2.5,0.3,0.2,0.2,2.7,0.0, $0.06 
"Asparagus, canned, no salt",411.0,1 can (300 x 407),61.7,7.4,4.1,4.1,106.9,0.2, $3.00 
"Asparagus, cooked, boiled, drained",60.0,4 spears (1/2 in. base),13.2,1.4,1.2,0.8,8.4,0.0, $0.63 
"Asparagus, raw",48.0,"4 spears, small (5 in. long or less)",9.6,1.1,1.0,0.9,1.0,0.0, $0.47 
"Avocados, raw, all comm var",230.0,"1 cup, pureed",368.0,4.6,15.4,1.5,16.1,4.9, $1.18 
"Babyfood, apple-banana juice",131.0,1 bottle (4.2 fl oz),66.8,0.3,0.3,14.4,5.2,0.0, $0.46 
Bacon,28.0,"1 slice, raw",116.8,3.5,0.0,0.3,185.4,3.7, $0.08 
"Bacon (pork), rendered fat, cooked",85.0,3 oz,763.3,0.1,0.0,0.0,23.0,27.2, $1.10 
"Bacon bits, meatless",7.0,1 tbsp,33.3,2.2,0.7,0.0,123.9,0.3, $0.13 
"Bacon, meatless",16.0,"1 oz, cooked yield",49.6,1.7,0.4,0.0,234.4,0.7, $0.46 
"Bagel, plain, toasted",26.0,1 mini bagel (2-1/2 in. diameter),68.6,2.7,0.4,2.2,109.7,0.1, $0.06 
"Bagel, wheat",98.0,1 bagel,245.0,10.0,4.0,6.0,430.2,0.0, $0.55 
"Bagels, cinnamon-raisin",69.0,1 small  bagel (3 in. diameter),189.1,6.8,1.6,4.1,237.4,0.2, $0.19 
"Bagels, oat bran",69.0,1 small  bagel (3 in. diameter),176.0,7.4,2.5,1.1,407.1,0.1, $0.04 
Banana chips,85.0,3 oz,441.2,2.0,6.5,30.0,5.1,24.6, $0.74 
"Banana pepper, raw",33.0,1 small  (4 in. long),8.9,0.5,1.1,0.6,4.3,0.0, $0.18 
"Bananas, raw",150.0,"1 cup, sliced",133.5,1.6,3.9,18.3,1.5,0.2, $0.31 
Barbecue sauce,143.0,.5 cup,246.0,1.2,1.3,47.5,1468.6,0.1, $0.42 
"Barley, pearled, cooked",157.0,1 cup,193.1,3.5,6.0,0.4,4.7,0.1, $0.17 
"Beans, baked, canned, plain or vegetarian",254.0,1 cup,238.8,12.1,10.4,20.2,871.2,0.2, $0.39 
"Beans, black, cooked",172.0,1 cup,227.0,15.2,15.0,1.3,1.7,0.2, $0.17 
"Beans, kidney, royal red",177.0,1 cup,217.7,16.8,16.5,0.6,8.9,0.0, $0.40 
"Beans, lima",188.0,1 cup,133.5,7.7,6.8,5.0,473.8,0.1, $0.47 
"Beans, lima",188.0,1 cup,133.5,7.7,6.8,5.0,473.8,0.1, $0.75 
"Beans, pink, mature seeds, cooked, boiled",169.0,1 cup,251.8,15.3,9.0,0.6,3.4,0.2, $0.42 
"Beans, pinto, mature seeds, cooked, boiled",171.0,1 cup,244.5,15.4,15.4,0.6,1.7,0.2, $0.13 
"Beans, small white, mature seeds, cooked, boiled",179.0,1 cup,254.2,16.1,18.6,3.8,3.6,0.3, $0.56 
"Beef broth & tomato juice, canned",168.0,1 can (5.5 oz),62.2,1.0,0.2,0.0,220.1,0.1, $0.17 
Beef empanadas,89.0,1 piece,298.2,10.1,1.8,1.6,391.6,4.6, $1.76 
"Beef frankfurter, heated",48.0,1 frankfurter,154.6,5.6,0.0,0.6,409.0,5.6, $0.28 
"Beef jerky, chopped & formed",20.0,"1 piece, large",82.0,6.6,0.4,1.8,416.2,2.2, $0.52 
"Beef pot pie, frozen entree, prepared",268.0,"1 pie, cooked (average weight)",589.6,19.4,2.1,0.0,978.2,11.1, $1.10 
"Beef sausage, fresh, cooked",43.0,1 serving,142.8,7.8,0.0,0.0,349.6,4.7, $0.62 
"Beef, chuck eye steak, boneless, lean & fat",384.0,1 steak,856.3,72.4,0.0,0.0,253.4,26.7, $5.89 
"Beef, chuck, short ribs, boneless, cooked",272.0,1 piece,680.0,78.4,0.0,0.0,204.0,11.5, $2.48 
"Beef, corned beefhash, w/ potato, canned",236.0,1 cup,387.0,20.6,2.6,0.8,972.3,10.2, $0.65 
"Beef, cured, corned beef, brisket, cooked",320.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",803.2,58.1,0.0,0.0,3113.6,20.3, $2.21 
"Beef, cured, dried",28.0,10 slices,42.8,8.7,0.0,0.8,781.2,0.3, $0.41 
"Beef, cured, pastrami",28.0,1 slice (1 oz),41.2,6.1,0.0,0.0,301.8,0.8, $0.40 
"Beef, ground, unspec fat content, cooked",85.0,3 oz,198.9,21.3,0.0,0.0,72.3,4.8, $0.49 
"Beef, ground,97% lean meat / 3% fat, patty, cooked, brld",70.0,1 patty,102.2,18.5,0.0,0.0,44.8,1.5, $0.65 
"Beef, liver, cooked",85.0,3 oz,127.5,19.8,0.0,0.0,46.8,1.2, $0.60 
"Beets, cooked, boiled, drained",100.0,"2 beets (2 in. dia, sphere)",44.0,1.7,2.0,8.0,77.0,0.0, $0.92 
"Beets, pickled, canned",227.0,"1 cup, slices",147.6,1.8,5.9,30.8,599.3,0.0, $1.87 
"Beets, raw",82.0,1 beet (2 in. diameter),35.3,1.3,2.3,5.5,64.0,0.0, $0.74 
"Biscuit, plain or butmlk, refried dough, higher fat",43.0,1 biscuit,132.0,2.9,0.3,3.2,420.1,1.2, $0.21 
"Biscuits, plain or buttermilk, dry mix",114.0,"1 cup, homemade",487.9,9.1,2.4,13.3,1454.6,4.5, $0.32 
"Bison, ground, grass-fed, cooked",85.0,3 oz,152.2,21.6,0.0,0.0,64.6,3.0, $1.08 
"Blackberries, frozen, unsweetened",510.0,1 package (18 oz),326.4,6.0,25.5,54.4,5.1,0.1, $3.73 
"Blackberries, raw",144.0,1 cup,61.9,2.0,7.6,7.0,1.4,0.0, $2.29 
"Blackberry juice, canned",250.0,1 cup,95.0,0.8,0.3,19.3,2.5,0.0, $0.62 
"Blueberries, canned, light syrup, drained",244.0,1 cup,214.7,2.5,6.3,42.6,7.3,0.1, $1.35 
"Blueberries, frozen, sweetened",284.0,1 package (10 oz),241.4,1.1,6.2,56.0,2.8,0.0, $2.13 
"Blueberries, frozen, unsweetened",567.0,1 package (20 oz),289.2,2.4,15.3,47.9,5.7,0.3, $4.25 
"Blueberries, raw",68.0,50 berries,38.8,0.5,1.6,6.8,0.7,0.0, $0.57 
Blueberry pie,125.0,1 piece (1/8 of 9 in. diameter),290.0,2.3,1.3,12.4,358.8,2.1, $0.88 
Blueberry soy yogurt,170.0,1 container,149.6,4.0,1.0,21.0,25.5,0.0, $0.76 
Bologna  turkey,28.0,1 serving,58.5,3.2,0.1,0.8,299.9,1.2, $0.35 
"Bologna, beef",28.0,1 serving,83.7,3.1,0.0,0.6,283.6,2.9, $0.27 
"Bologna, beef & pork, lowfat",14.0,1 cubic inch,32.2,1.6,0.0,0.0,155.1,1.0, $0.14 
"Bologna, beef& pork",100.0,3.527 oz,308.0,15.2,0.0,4.4,960.0,9.3, $1.12 
"Bologna, chicken, pork, beef",28.0,1 slice,76.2,3.2,0.0,0.0,313.6,2.0, $0.28 
"Boysenberries, frozen, unsweetened",284.0,1 package (10 oz),142.0,3.1,15.1,19.6,2.8,0.0, $2.13 
"Bratwurst, veal, cooked",84.0,"1 serving, 2.96 oz",286.4,11.8,0.0,0.0,50.4,12.5, $0.70 
Bread sticks,5.0,"1 stick, small  (approx 4-1/4 in. long)",20.6,0.6,0.2,0.1,35.7,0.1, $0.03 
"Bread, egg",40.0,1 slice (5 in. x 3 in. x 1/2 in.),114.8,3.8,0.9,0.7,152.0,0.6, $0.14 
"Bread, egg, toasted",37.0,1 slice (5 in. x 3 in. x 1/2 in.),116.6,3.9,0.9,0.7,154.3,0.6, $0.14 
"Bread, french",139.0,1 slice,378.1,14.9,3.1,6.4,836.8,0.7, $0.63 
"Bread, irish soda, prepared from recipe",28.0,1 oz,81.2,1.8,0.7,5.5,111.4,0.3, $0.14 
"Bread, italian",30.0,"1 slice, large (4-1/2 in. x 3-1/4 in. x 3/4 in.)",81.3,2.6,0.8,0.2,183.9,0.3, $0.13 
"Bread, multi-grain (includes whole-grain)",26.0,"1 slice, regular",68.9,3.5,1.9,1.7,99.1,0.2, $0.09 
"Bread, multi-grain, toasted (includes whole-grain)",24.0,"1 slice, regular",69.1,3.5,1.9,1.7,99.4,0.2, $0.09 
"Bread, naan (indian bread), plain",90.0,1 piece,261.9,8.7,2.0,3.2,418.5,1.3, $0.32 
"Bread, oat bran",30.0,1 slice,70.8,3.1,1.4,2.3,105.9,0.2, $0.12 
"Bread, oat bran, toasted",27.0,1 slice,69.9,3.1,1.3,2.3,104.5,0.2, $0.11 
"Bread, oatmeal",27.0,1 slice,72.6,2.3,1.1,2.2,120.7,0.2, $0.11 
"Bread, oatmeal, toasted",25.0,1 slice,73.0,2.3,1.1,2.2,121.5,0.2, $0.11 
"Bread, pita, white, enriched",28.0,"1 pita, small  (4 in. diameter)",77.0,2.5,0.6,0.4,150.1,0.0, $0.08 
"Bread, pita, whole-wheat",28.0,"1 pita, small  (4 in. diameter)",74.5,2.7,2.1,0.2,124.3,0.1, $0.08 
"Bread, pumpernickel",26.0,"1 slice, regular",65.0,2.3,1.7,0.1,155.0,0.1, $0.14 
"Bread, pumpernickel, toasted",29.0,1 slice (5 in. x 4 in. x 3/8 in.),79.8,2.8,2.1,0.2,190.0,0.1, $0.17 
"Bread, raisin, enriched",32.0,"1 slice, large",87.7,2.5,1.4,1.8,111.0,0.3, $0.17 
"Bread, raisin, toasted, enriched",29.0,"1 slice, large",86.1,2.5,1.4,1.8,109.3,0.3, $0.17 
"Bread, reduced calorie, white",23.0,1 slice,47.6,2.0,2.2,1.1,110.2,0.1, $0.09 
"Bread, rice bran",27.0,1 slice,65.6,2.4,1.3,1.3,72.6,0.2, $0.08 
"Bread, rye",32.0,"1 slice, regular",82.9,2.7,1.9,1.2,193.0,0.2, $0.17 
"Bread, rye, toasted",29.0,"1 slice, large",82.4,2.7,1.9,1.2,192.6,0.2, $0.17 
"Bread, wheat",29.0,1 slice,77.4,3.1,1.2,1.7,147.3,0.2, $0.10 
"Bread, white",28.4,1 oz,75.4,2.5,0.8,1.6,138.9,0.2, $0.08 
"Bread, whole-wheat",28.4,1 oz,71.4,3.5,1.7,1.2,129.0,0.2, $0.09 
"Bread, whole-wheat, toasted",25.0,1 slice,76.5,4.1,2.3,1.4,123.3,0.2, $0.10 
"Breakfast bar, corn flake crust w/ fruit",37.0,1 bar,139.5,1.6,0.8,13.0,109.9,0.6, $0.47 
"Breakfast tart, lowfat",52.0,1 tart,193.4,2.1,0.8,2.5,187.7,0.7, $0.48 
"Broccoli, cooked, w/ salt",280.0,"1 stalk, large (11 in.-12 in. long)",98.0,6.7,9.2,3.9,733.6,0.2, $1.77 
"Broccoli, frozen, chopped, unprepared",284.0,1 package (10 oz),73.8,8.0,8.5,3.8,68.2,0.1, $1.09 
"Broccoli, raw",608.0,1 bunch,206.7,17.1,15.8,10.3,200.6,0.2, $3.92 
"Brown rice, cooked",195.0,1 cup,218.4,4.5,3.5,1.7,2.0,0.3, $0.20 
Brownies,56.0,"1 square, large (2-3/4 in. sq x 7/8 in.)",226.8,2.7,1.2,20.5,160.2,2.4, $0.15 
"Brownies, reduced fat",36.0,1 brownie,124.2,1.0,4.0,13.9,104.4,1.0, $0.05 
"Brussels sprouts, cooked",78.0,.5 cup,28.1,2.0,2.0,1.4,16.4,0.1, $0.35 
"Brussels sprouts, frozen",284.0,1 package (10 oz),116.4,10.7,10.8,6.2,28.4,0.2, $1.22 
"Brussels sprouts, raw",190.0,10 sprouts,81.7,6.4,7.2,4.2,47.5,0.1, $1.08 
"Buckwheat groats, roasted, cooked",168.0,1 cup,154.6,5.7,4.5,1.5,6.7,0.2, $0.30 
"Burrito, bean and cheese, frozen",129.0,1 burrito,285.1,9.1,4.4,4.1,452.8,1.7, $0.36 
"Burrito, beef & bean, frozen",28.4,1 oz,67.8,2.1,1.2,0.2,166.4,0.8, $0.13 
"Burrito, w/ beans, cheese & beef",241.0,1 burrito,433.8,16.9,8.9,5.1,1086.9,6.6, $1.12 
"Butter, whipped, with salt",9.4,1 tbsp,67.4,0.1,0.0,0.0,61.9,4.7, $0.11 
"Butter, with salt",14.2,1 tbsp,101.8,0.1,0.0,0.0,91.3,7.3, $0.10 
"Butter, without salt",14.2,1 tbsp,101.8,0.1,0.0,0.0,1.6,7.3, $0.11 
"Cabbage, chinese (pak-choi), cooked",170.0,"1 cup, shredded",20.4,2.7,1.7,1.4,57.8,0.0, $0.22 
"Cabbage, chinese (pe-tsai), raw",76.0,"1 cup, shredded",12.2,0.9,0.9,1.1,6.8,0.0, $0.10 
"Cabbage, raw",70.0,"1 cup, shredded",17.5,0.9,1.8,2.2,12.6,0.0, $0.10 
"Cabbage, red, cooked",75.0,".5 cup, shredded",21.8,1.1,2.0,2.5,21.0,0.0, $0.11 
"Cabbage, red, raw",70.0,"1 cup, shredded",21.7,1.0,1.5,2.7,18.9,0.0, $0.10 
"Cake, carrot, dry mix, pudding-type",127.5,1/4 package,529.1,6.5,0.0,53.4,722.9,1.9, $1.02 
"Cake, fruitcake, commonly prepared",43.0,1 piece,139.3,1.2,1.6,11.8,43.4,0.5, $0.35 
"Cake, gingerbread, dry mix",102.8,1/4 package,449.0,4.5,1.7,47.9,675.1,3.6, $0.42 
"Cake, marble, dry mix, pudding-type",129.3,1/4 package,537.7,4.4,3.7,46.2,670.8,3.2, $0.34 
"Cake, pound, commonly prepared, butter (includes fresh & frozen)",49.0,"1 piece, individually wrapped cake",173.0,2.5,0.3,16.3,184.7,2.4, $0.13 
"Cake, sponge, commonly prepared",38.0,1 piece (1/12 of 16 oz cake),110.2,2.1,0.2,13.9,236.7,0.3, $0.30 
"Cake, white, dry mix, pudding-type, enriched",131.0,1/4 package,554.1,5.1,0.9,64.1,871.2,3.1, $0.32 
"Cake, yellow, dry mix, pudding-type",131.0,1/4 package,554.1,5.2,0.9,57.9,1126.6,3.2, $0.32 
"Cake, yellow, prepared from recipe w/o frosting",68.0,1 piece (1/12 of 8 in. diameter),245.0,3.6,0.5,17.0,233.0,2.7, $0.16 
"Canadian bacon, cooked, pan-fried",13.0,1 slice,19.0,3.6,0.0,0.2,132.6,0.1, $0.26 
"Candies, caramels, chocolate-flavor roll",64.0,"1 bar, 2.25 oz",247.7,1.0,0.1,36.0,28.2,0.6, $0.42 
"Candies, chocolate covered, caramel w/ nuts",14.0,1 piece,65.8,1.3,0.6,5.8,21.8,0.7, $0.14 
"Candies, gumdrops, starch jelly pieces",36.0,10 gumdrops,142.6,0.0,0.0,21.2,15.8,0.0, $0.24 
"Candies, hard",6.0,1 piece,23.6,0.0,0.0,3.8,2.3,0.0, $0.07 
"Candies, milk chocolate coated peanuts",40.0,10 pieces,207.6,5.2,1.9,15.0,16.4,5.8, $0.43 
"Candies, semisweet chocolate",182.0,"1 cup, large chips",873.6,7.6,10.7,99.2,20.0,32.3, $1.13 
"Candies, sweet chocolate",41.0,1 bar (1.45 oz),207.9,1.6,2.3,21.1,6.6,8.2, $0.40 
"Candies, white chocolate",14.0,1 tbsp,75.5,0.8,0.0,8.3,12.6,2.7, $0.04 
"Cantaloupe, raw",160.0,"1 cup, cubes",54.4,1.3,1.4,12.6,25.6,0.1, $0.61 
"Carp, cooked",170.0,1 fillet,275.4,38.9,0.0,0.0,107.1,2.4, $2.72 
"Carrot juice, canned",29.5,1 fl oz,11.8,0.3,0.2,1.2,19.5,0.0, $0.11 
"Carrots, canned",228.0,"1 cup, mashed",57.0,1.5,3.4,5.7,551.8,0.1, $0.40 
"Carrots, cooked",78.0,".5 cup, slices",27.3,0.6,2.3,2.7,45.2,0.0, $0.20 
"Carrots, cooked, from frozen",146.0,"1 cup, sliced",54.0,0.8,4.8,6.0,86.1,0.2, $0.47 
"Carrots, raw",110.0,"1 cup, grated",45.1,1.0,3.1,5.2,75.9,0.0, $0.34 
"Cashew nuts, dry roasted, w/ salt",28.4,1 oz,162.7,4.3,0.9,1.4,181.4,2.6, $0.34 
"Cashew nuts, oil roasted",129.0,"1 cup, halves and pieces",748.2,21.7,4.3,6.5,16.8,10.9, $1.61 
"Cashew nuts, oil roasted, w/ salt",129.0,"1 cup, halves and pieces",749.5,21.7,4.3,6.5,397.3,10.9, $1.56 
"Cashew nuts, raw",28.0,1 oz,154.8,5.1,0.9,1.7,3.4,2.2, $0.34 
"Catfish, channel, cooked, breaded & fried",85.0,3 oz,194.7,15.4,0.6,0.0,238.0,2.8, $0.77 
"Cauliflower, cooked",54.0,3 flowerets,12.4,1.0,1.2,1.1,8.1,0.0, $0.42 
"Cauliflower, cooked, from frozen",180.0,1 cup (1 in. pieces),34.2,2.9,4.9,1.9,32.4,0.1, $0.56 
"Cauliflower, raw",13.0,1 floweret,3.3,0.2,0.3,0.2,3.9,0.0, $0.12 
"Celeriac, cooked",155.0,"1 cup, pieces",41.9,1.5,1.9,2.5,94.6,0.1, $3.09 
"Celery, cooked",75.0,2 stalks,13.5,0.6,1.2,1.8,68.3,0.0, $0.30 
"Celery, raw",110.0,1 NLEA serving,17.6,0.8,1.8,1.5,88.0,0.0, $0.34 
Cereals ready-to-eat,55.0,.67 cup (1 NLEA serving),193.6,6.2,5.0,11.0,14.9,0.3, $0.40 
"Cereals, corn flakes",28.0,1 cup (1 NLEA serving),100.0,2.1,0.9,2.7,204.1,0.0, $0.18 
"Cereals, cream of wheat, 1 minute cook time, dry",41.1,3 tbsp,147.5,4.8,1.8,0.2,2.9,0.1, $0.06 
"Cereals, whole wheat, cooked w/ water",182.0,.75 cup,112.8,3.6,2.9,0.1,0.0,0.1, $0.15 
Cheese enchilada,137.0,1 enchilada,374.0,15.4,2.6,3.6,723.4,11.5, $0.75 
"Cheese food, imitation",28.0,1 oz,72.0,1.1,0.0,2.3,363.2,2.2, $0.28 
Cheese pupusas,117.0,1 pupusa,299.5,13.7,3.4,1.4,468.0,7.6, $0.21 
Cheese quesadilla,194.0,"1 quesadilla, 8-10 inch diameter",713.9,30.9,3.3,4.3,1359.9,22.4, $0.96 
Cheese sauce,243.0,1 cup,478.7,25.1,0.2,0.5,1198.0,19.5, $0.77 
"Cheese spread, american or cheddar cheese base, reduced fat",566.0,1 package,996.2,75.9,0.0,40.0,6237.3,32.0, $6.12 
"Cheese spread, cream cheese base",240.0,1 cup,708.0,17.0,0.0,8.4,1046.4,43.2, $1.86 
"Cheese, blue",17.0,1 cubic inch,60.0,3.6,0.0,0.1,194.8,3.2, $0.31 
"Cheese, brick",113.0,"1 cup, shredded",419.2,26.3,0.0,0.6,632.8,21.2, $1.16 
"Cheese, brie",144.0,"1 cup, sliced",481.0,29.9,0.0,0.6,905.8,25.1, $2.64 
"Cheese, camembert",246.0,1 cup,738.0,48.7,0.0,1.1,2071.3,37.5, $4.51 
"Cheese, cheddar",244.0,"1 cup, melted",990.6,58.7,0.0,0.7,1571.4,47.3, $1.94 
"Cheese, colby",113.0,"1 cup, shredded",445.2,26.8,0.0,0.6,682.5,22.8, $1.06 
"Cheese, cottage, creamed, large or small curd",210.0,"1 cup, large curd (not packed)",205.8,23.4,0.0,5.6,764.4,3.6, $0.95 
"Cheese, cottage, lowfat, 1% milkfat",226.0,1 cup (not packed),162.7,28.0,0.0,6.1,917.6,1.5, $1.08 
"Cheese, cream",232.0,1 cup,793.4,13.8,0.0,7.4,846.8,44.8, $1.80 
"Cheese, cream, low fat",240.0,1 cup,482.4,18.8,0.0,14.0,861.6,21.8, $1.90 
"Cheese, feta",28.4,1 oz,74.8,4.0,0.0,1.2,260.0,4.2, $0.51 
"Cheese, fontina",108.0,"1 cup, shredded",420.1,27.6,0.0,1.7,864.0,20.7, $1.98 
"Cheese, fresh, queso fresco",122.0,"1 cup, crumbled",364.8,22.1,0.0,2.8,916.2,15.8, $0.58 
"Cheese, goat, soft type",28.0,1 oz,73.9,5.2,0.0,0.0,128.5,4.1, $0.41 
"Cheese, gouda",198.0,1 package (7 oz),704.9,49.4,0.0,4.4,1621.6,34.9, $3.16 
"Cheese, gruyere",28.0,1 slice (1 oz),115.6,8.3,0.0,0.1,199.9,5.3, $0.51 
"Cheese, mexican blend",28.0,".25 cup, shredded",100.2,6.6,0.0,0.3,94.6,4.8, $0.29 
"Cheese, mexican, queso anejo",28.4,1 oz,105.7,6.1,0.0,1.3,320.6,5.4, $0.24 
"Cheese, mexican, queso asadero",113.0,"1 cup, shredded",402.3,25.5,0.0,3.2,796.7,20.3, $1.16 
"Cheese, mexican, queso chihuahua",113.0,"1 cup, shredded",422.6,24.4,0.0,6.3,697.2,21.3, $1.16 
"Cheese, monterey",113.0,"1 cup, shredded",421.5,27.7,0.0,0.6,678.0,21.5, $1.17 
"Cheese, monterey, low fat",113.0,"1 cup, shredded",353.7,31.9,0.0,0.6,882.5,15.9, $1.17 
"Cheese, mozzarella, non-fat",113.0,"1 cup, shredded",159.3,35.8,2.0,1.7,839.6,0.0, $1.19 
"Cheese, mozzarella, part skim milk",28.0,1 oz,71.1,6.8,0.0,0.3,173.3,2.8, $0.27 
"Cheese, mozzarella, whole milk",28.4,1 oz,85.1,6.3,0.0,0.3,177.8,3.7, $0.28 
"Cheese, muenster",113.0,"1 cup, shredded",415.8,26.5,0.0,1.3,709.6,21.6, $1.41 
"Cheese, muenster, low fat",18.0,1 cubic inch,48.8,4.4,0.0,0.6,108.0,2.0, $0.47 
"Cheese, parmesan, grated",5.0,1 tbsp,21.0,1.4,0.0,0.0,90.2,0.8, $0.08 
"Cheese, parmesan, hard",10.3,1 cubic inch,40.4,3.7,0.0,0.1,141.7,1.7, $0.21 
"Cheese, port de salut",113.0,"1 cup, shredded",397.8,26.9,0.0,0.6,603.4,18.9, $2.07 
"Cheese, processed, american",28.0,1 slice (1 oz),102.5,5.1,0.0,0.6,467.9,5.1, $0.21 
"Cheese, processed, american, lowfat",113.0,"1 cup, shredded",203.4,27.8,0.0,0.7,2021.6,5.0, $0.88 
"Cheese, processed, cheddar or american, fat-free",21.0,1 slice (3/4 oz),31.1,4.7,0.0,2.1,320.9,0.1, $0.16 
"Cheese, processed, swiss",113.0,"1 cup, shredded",377.4,27.9,0.0,1.4,1548.1,18.1, $1.34 
"Cheese, processed, swiss, lowfat",113.0,"1 cup, shredded",186.5,28.8,0.0,1.5,1615.9,3.7, $0.86 
"Cheese, provolone",28.4,1 oz,99.5,7.3,0.0,0.2,248.3,4.8, $0.48 
"Cheese, ricotta, part skim milk",28.4,1 oz,39.1,3.2,0.0,0.1,28.1,1.4, $0.13 
"Cheese, swiss",244.0,"1 cup, melted",927.2,65.7,0.0,3.2,170.8,43.4, $3.32 
"Cheese, swiss, low fat",15.0,1 cubic inch,26.9,4.3,0.0,0.2,29.9,0.5, $0.25 
"Cheeseburger; single, large patty; plain",182.0,1 sandwich,564.2,31.5,3.1,8.5,875.4,12.5, $0.60 
Cheesecake,80.0,1 piece (1/6 of 17 oz cake),256.8,4.4,0.3,17.4,350.4,7.9, $0.42 
"Cherries, sweet, canned, in heavy syrup",261.0,"1 cup, pitted",266.2,1.5,3.9,42.3,7.8,0.1, $1.78 
"Cherries, sweet, canned, juice pack",250.0,"1 cup, pitted",135.0,2.3,3.8,30.8,7.5,0.0, $2.99 
"Cherries, sweet, raw",154.0,"1 cup, without pits",97.0,1.6,3.2,19.7,0.0,0.1, $0.93 
