food,foodGroup,pkgAmt,pricePerOz,calsPerOz,fatPerOz,totalCost,protPerOz,sodiumPerOz,fiberPerOz,sugarPerOz,calsPerServ,ozPerServ,fatPerServ,protPerServ,sodiumPerServ,fiberPerServ,sugarPerServ,costPerServ,grains,oilsFats,fruit,sugar,meatProtein,bev,vegs,dairy,serv,meatProtein2,grains2,sugar2,dairy2,fruit2,oilsFats2,vegs2,bev2,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71
Nature's Design Eggs - Jumbo,Dairy,30,0.07,36,2,$1.99,3.2,32,0,0,90,2.5,5,8,80,0,0,0.175,0,0,0,0,0,0,0,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On The Vine Tomatoes,Fruit,8,0.19,4.7,0,$1.50,0.3,0,0.3,0.6,15,3.17466,0,1,0,1,2,0.6031854,0,0,3.17466,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butternut Squash - Fresh Cut,Vegetables,20,0.15,13.3,0,$2.99,0.33,0,0.7,0.7,40,3,0,1,0,2,2,0.45,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento Tomato Juice,Fruit,46,0.04,5.8,0,$1.99,0.2,93.3,0.2,0.8,35,6,0,1,560,1,4.9,0.24,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Almonds - In the Shell,Meat/Protein,16,0.25,158.9,14,$3.99,5.6,0,3.7,0.9,170,1.07,15,6,0,4,1,0.2675,0,0,0,0,1.07,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earthbound Farm Carrots,Vegetables,32,0.05,10.9,0,$1.69,0.4,21.7,0.9,1.8,30,2.75137,0,1,60,2,5,0.1375685,0,0,0,0,0,0,2.75137,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Key Food Strawberries,Fruit,16,0.21,10,0,$3.29,0.2,0,0.4,1.8,50,8,0,0,0,3,8,1.68,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas' Bagels - 100% Whole Wheat,Grains,20,0.23,73.5,0.6,$4.69,3.5,100,2.1,2.1,250,3.4,2,12,340,7,7,0.782,3.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oranges - Varieties Midknight,Fruit,6.4,0.04,13.3,0,$.25/each,0.3,0,0.6,2.7,85,6.4,0,2,0,4,17,0.256,0,0,6.4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken of the Sea Tuna - Chunk Light In Water,Meat/Protein,5,0.24,25,0.25,$1.19,5.5,90,0,0,50,2,0.5,11,180,0,0,0.48,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Harvest Rotelle - Quinoa,Grains,8,0.44,102.5,0.5,$3.49,2,2,2,0,205,2,1,4,4,4,0,0.88,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
House Organic Extra Firm Tofu,Meat/Protein,3,0.14,30,1.5,$1.99,3.7,6.7,0,0,90,3,4.5,11,20,0,0,0.42,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Drumsticks,Meat/Protein,16,0.1,60.5,3.1,$1.59,7.6,25.4,0,0,112,1.85,5.8,14.1,47,0,0,0.185,0,0,0,0,1.85,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ground Beef (Beef Ground Chuck),Meat/Protein,6,0.25,59,3.7,$3.99,6,18.8,0,0,354,6,22,36,113,0,0,1.5,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pork Loin,Meat/Protein,3,0.12,70.3,4.2,$1.99,7.7,16.7,0,0,211,3,12.5,23,50,0,0,0.36,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avocadoes Hass - Extra Large,Vegetables,5,0.33,50,4.5,$1.67,0,0,2,0,50,1,4.5,0,0,2,0,0.33,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Monte Green Beans - French Style Blue Lake,Vegetables,14.5,0.11,4.8,0,$1.59,0.3,2.4,0.5,0.5,20,4.2,0,1.1,10,2,2,0.462,0,0,0,0,0,0,4.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asparagus Green - Small,Vegetables,4.8,0.12,5.6,0,$1.99,0.6,0.6,0.6,0.5,27,4.8,0.2,2.9,3,2.8,2.5,0.576,0,0,0,0,0,0,4.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birds Eye Broccoli - Tender Cuts,Vegetables,16,0.16,9.25,0,$2.59,0.6,6.2,0.6,0.6,30,3.24,0,2,20,2,2,0.5184,0,0,0,0,0,0,3.24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Key Food Brussel Sprouts,Vegetables,16,0.17,15.5,0,$2.69,1,5.2,1,0.7,80,8,2.5,5,190,3,3,1.36,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birds Eye Corn - Sweet Kernel,Vegetables,10,0.1,18.9,0.2,$1.00,0.6,0,0.2,0.9,100,5.3,1,3,0,1,5,0.53,0,0,0,0,0,0,5.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropicana Trop50 Orange Juice,Fruit,59,0.07,6.25,0,$4.39,0.125,1.25,0,1.25,50,8,0,1,10,0,10,0.56,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosc Pears,Fruit,5.9,0.06,16.3,0,$.25/each,0.2,0.3,0.8,2.7,96,5.9,0,1,2,5,16,0.354,0,0,5.9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cortland Apples,Fruit,48,0.08,14.5,0,$3.99,0,0,0.9,2.9,14.5,1,0,0,0,0.9,2.9,0.08,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bananas,Fruit,2.3,0.05,25,0,$0.11,0,0,1,3,105,4.16233,0,1,1,3,14,0.2081165,0,0,4.16233,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kellogg's Frosted Mini Wheats - Bite Size,Grains,18,0.28,96.7,0.4,$4.99,2.9,2.4,2.8,5.2,45,0.493835,0,0,0,0.8,10,0.1382738,0.493835,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun-Maid California Raisins,Fruit,15,0.2,86.7,0,$2.99,0.7,6.7,1.3,20,130,1.5,0,1,10,2,30,0.3,0,0,1.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orville Redenbacher's Microwave Popcorn - Kettle Korn,Grains,8.7,0.44,120,0.2,$3.79,0.3,29.7,0.5,0,120,12.14,2.4,4.1,360,6.1,0,5.3416,12.14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MexAmerica Flour Tortillas,Grains,21,0.1,80,1.7,$2.19,2,193.3,1.3,0,120,1.5,2.5,3,290,2,0,0.15,1.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birds Eye Spinach - Chopped,Vegetables,10,0.1,7.5,0,$1.00,0,31.25,0.25,0.25,30,4,0,0,125,1,1,0.4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friendship Cottage Cheese - Low Fat,Dairy,16,0.12,22.1,0.25,$1.99,3.9,88.5,0,0.7,90,4.07,1,16,360,0,3,0.4884,0,0,0,0,0,0,0,4.07,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceberg Lettuce,Vegetables,35.2,0.05,4,0,$1.89,0,3,0,1,12,3.13938,0,1,9,1,2,0.156969,0,0,0,0,0,0,3.13938,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planters Peanuts - Dry Roasted Unsalted,Meat/Protein,12,0.37,170,14,$4.49,8,5,2,1,170,1,14,8,5,2,1,0.37,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan 1% Low Fat Milk,Dairy,128,0.03,12.8,0.3,$3.99,0.9,15.1,0,1.4,102.4,8,0.24,7.2,120.8,0,11.2,0.24,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan Whole Milk,Dairy,128,0.03,18.75,1,$3.99,1,15,0,1.4,150,8,8,8,120,0,11,0.24,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axelrod Low Fat Yogurt - Mixed Berry,Dairy,6,0.13,15,0,$0.79,1,16.7,0,2,90,6,0,6,100,0,12,0.78,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stroehmann Whole Wheat Bread,Grains,24,0.12,90,1,$2.79,4,170,2,3,90,1,1,4,170,2,3,0.12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey Hill Frozen Yogurt - Vanilla Bean,Dairy,48,0.06,36.6,0,$2.99,1.2,24.4,0,5.7,90,2.46,0,3,60,0,14,0.1476,0,0,0,0,0,0,0,2.46,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino Sugar - Pure Cane Granulated,Sugar,64,0.06,120,0,$3.99,0,0,0,28,15,0.125,0,0,0,0,3.5,0.0075,0,0,0,0.125,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino Brown Sugar - Golden Light,Sugar,16,0.07,107.1,0,$1.19,0,0,0,28.6,15,0.14,0,0,0,0,4,0.0098,0,0,0,0.14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheddar Cheese,Dairy,8,0.21,113,9,$1.69,7,174,0,0,113,1,9,7,174,0,0,0.21,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olive Oil,Oils/Fats,101,0.16,238,27,$15.99,0,0,0,0,119,0.5,13.5,0,0,0,0,0.08,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
